"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2020 oktober";"Houtwijk";49
"Totaal misdrijven";"2020 november";"Houtwijk";46
"Totaal misdrijven";"2020 december";"Houtwijk";58
"Totaal misdrijven";"2021 januari";"Houtwijk";45
"Totaal misdrijven";"2021 februari";"Houtwijk";42
"Totaal misdrijven";"2021 maart";"Houtwijk";49
"Totaal misdrijven";"2021 april";"Houtwijk";57
"Totaal misdrijven";"2021 mei";"Houtwijk";42
"Totaal misdrijven";"2021 juni";"Houtwijk";68
"Totaal misdrijven";"2021 juli";"Houtwijk";54
"Totaal misdrijven";"2021 augustus";"Houtwijk";44
"Totaal misdrijven";"2021 september";"Houtwijk";42
"1.1.1 Diefstal/inbraak woning";"2020 oktober";"Houtwijk";2
"1.1.1 Diefstal/inbraak woning";"2020 november";"Houtwijk";9
"1.1.1 Diefstal/inbraak woning";"2020 december";"Houtwijk";0
"1.1.1 Diefstal/inbraak woning";"2021 januari";"Houtwijk";1
"1.1.1 Diefstal/inbraak woning";"2021 februari";"Houtwijk";3
"1.1.1 Diefstal/inbraak woning";"2021 maart";"Houtwijk";1
"1.1.1 Diefstal/inbraak woning";"2021 april";"Houtwijk";2
"1.1.1 Diefstal/inbraak woning";"2021 mei";"Houtwijk";2
"1.1.1 Diefstal/inbraak woning";"2021 juni";"Houtwijk";8
"1.1.1 Diefstal/inbraak woning";"2021 juli";"Houtwijk";6
"1.1.1 Diefstal/inbraak woning";"2021 augustus";"Houtwijk";9
"1.1.1 Diefstal/inbraak woning";"2021 september";"Houtwijk";1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020 oktober";"Houtwijk";1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020 november";"Houtwijk";1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2020 december";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 januari";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 februari";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 maart";"Houtwijk";2
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 april";"Houtwijk";1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 mei";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 juni";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 juli";"Houtwijk";1
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 augustus";"Houtwijk";0
"1.1.2 Diefstal/inbraak box/garage/schuur";"2021 september";"Houtwijk";0
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2020 oktober";"Houtwijk";1
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2020 november";"Houtwijk";1
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2020 december";"Houtwijk";2
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 januari";"Houtwijk";1
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 februari";"Houtwijk";0
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 maart";"Houtwijk";0
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 april";"Houtwijk";4
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 mei";"Houtwijk";1
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 juni";"Houtwijk";3
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 juli";"Houtwijk";4
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 augustus";"Houtwijk";0
"1.2.1 Diefstal uit/vanaf motorvoertuigen";"2021 september";"Houtwijk";1
"1.2.2 Diefstal van motorvoertuigen";"2020 oktober";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2020 november";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2020 december";"Houtwijk";1
"1.2.2 Diefstal van motorvoertuigen";"2021 januari";"Houtwijk";1
"1.2.2 Diefstal van motorvoertuigen";"2021 februari";"Houtwijk";1
"1.2.2 Diefstal van motorvoertuigen";"2021 maart";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2021 april";"Houtwijk";1
"1.2.2 Diefstal van motorvoertuigen";"2021 mei";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2021 juni";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2021 juli";"Houtwijk";0
"1.2.2 Diefstal van motorvoertuigen";"2021 augustus";"Houtwijk";2
"1.2.2 Diefstal van motorvoertuigen";"2021 september";"Houtwijk";0
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020 oktober";"Houtwijk";5
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020 november";"Houtwijk";2
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020 december";"Houtwijk";2
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 januari";"Houtwijk";5
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 februari";"Houtwijk";1
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 maart";"Houtwijk";3
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 april";"Houtwijk";6
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 mei";"Houtwijk";4
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 juni";"Houtwijk";2
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 juli";"Houtwijk";6
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 augustus";"Houtwijk";4
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021 september";"Houtwijk";6
"1.2.4 Zakkenrollerij";"2020 oktober";"Houtwijk";0
"1.2.4 Zakkenrollerij";"2020 november";"Houtwijk";0
"1.2.4 Zakkenrollerij";"2020 december";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 januari";"Houtwijk";0
"1.2.4 Zakkenrollerij";"2021 februari";"Houtwijk";0
"1.2.4 Zakkenrollerij";"2021 maart";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 april";"Houtwijk";0
"1.2.4 Zakkenrollerij";"2021 mei";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 juni";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 juli";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 augustus";"Houtwijk";1
"1.2.4 Zakkenrollerij";"2021 september";"Houtwijk";0
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020 oktober";"Houtwijk";5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020 november";"Houtwijk";2
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2020 december";"Houtwijk";4
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 januari";"Houtwijk";0
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 februari";"Houtwijk";7
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 maart";"Houtwijk";1
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 april";"Houtwijk";5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 mei";"Houtwijk";2
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 juni";"Houtwijk";4
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 juli";"Houtwijk";5
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 augustus";"Houtwijk";1
"1.2.5 Diefstal af/uit/van ov. voertuigen";"2021 september";"Houtwijk";3
